circuit,initial_size,none_size,none_time,sifting_size,sifting_time,group_size,group_time,iggroup_size,iggroup_time
ham15_108,4522,4522,0.031432,1170,2.92477,1170,2.8242,1366,0.677112
ham15_109,4522,4522,0.025841,1986,1.16148,1986,1.1087,2690,0.817164
ham3_102,10,10,0.00011,10,0.005819,10,0.00618,10,0.004075
ham3_103,10,10,9.1,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ham7_104,130,130,0.000468,126,0.042549,126,0.042161,126,0.035201
ham7_105,130,130,0.000419,126,0.041249,126,0.049226,126,0.035348
ham7_106,130,130,0.000487,126,0.044385,126,0.045583,126,0.035856
ham7_299,9290,9290,0.060619,528,1.56409,528,1.59882,562,1.18646
hwb4_49,22,22,0.000254,20,0.012326,20,0.014719,20,0.008316
hwb4_50,22,22,0.000222,20,0.013009,20,0.011285,20,0.008951
hwb4_51,20,20,0.000184,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
hwb4_52,22,22,0.000158,20,0.011132,20,0.013008,20,0.009521
hwb5_300,291185,291185,12.4722,7986,23.381,7986,23.6551,12070,11.3349
hwb5_53,47,47,0.000553,38,0.018032,38,0.01801,38,0.022601
hwb5_54,41,41,0.000412,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
hwb5_55,47,47,0.000369,38,0.02466,38,0.022143,38,0.020383
hwb6_56,87,87,0.00187,80,0.031658,80,0.034065,80,0.033595
hwb6_57,83,83,0.001595,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
hwb6_58,87,87,0.000986,80,0.046066,80,0.029771,80,0.041571
hwb7_59,179,179,0.007769,155,0.058965,155,0.060828,155,0.060256
hwb7_60,161,161,0.005199,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
hwb7_61,179,179,0.006212,155,0.069233,155,0.063671,155,0.068005
hwb7_62,179,179,0.009737,155,0.068072,155,0.072055,155,0.057031
hwb8_113,343,343,0.034315,280,0.153017,280,0.154418,280,0.152829
hwb8_114,343,343,0.028663,280,0.147469,280,0.14584,280,0.140854
hwb8_115,343,343,0.028263,280,0.149668,280,0.173467,280,0.168535
hwb8_116,343,343,0.044344,280,0.209685,280,0.204266,280,0.168615
hwb8_117,343,343,0.038822,280,0.18914,280,0.182383,280,0.165205
hwb8_118,343,343,0.033456,280,0.15882,280,0.160842,280,0.149708
hwb9_119,683,683,0.156178,526,0.449732,526,0.462949,526,0.514833
hwb9_120,683,683,0.206715,526,0.541655,526,0.509395,526,0.473035
hwb9_121,683,683,0.171266,526,0.491045,526,0.525336,526,0.436679
hwb9_122,683,683,0.179535,526,0.488557,526,0.451481,526,0.498009
hwb9_123,683,683,0.22476,526,0.573963,526,0.544199,526,0.547427
in0_235,1183,1183,0.020869,663,2.65648,663,2.50401,667,1.71323
in2_236,7525,7525,0.447388,806,3.12719,806,3.257,704,2.4767
inc_237,183,183,0.000899,143,0.378711,143,0.685686,157,0.502137
life_238,49,49,0.00136,49,0.117405,49,0.113548,49,0.131913
majority_239,15,15,0.000134,14,0.032198,14,0.036364,14,0.038445
max46_240,83,83,0.001378,83,0.131156,83,0.121499,83,0.124888
miller_11,11,11,0.000273,11,0.013038,11,0.015661,11,0.01687
miller_12,11,11,0.000322,11,0.020619,11,0.012464,11,0.012965
mini-alu_167,18,18,0.000132,17,0.008836,17,0.009706,17,0.01501
mini_alu_305,375,375,0.000927,81,0.112918,81,0.217319,92,0.100966
misex1_241,103,103,0.000565,84,0.326423,84,0.550031,88,0.507579
misex3_242,7719,7719,0.951615,544,4.61474,544,4.07206,769,3.03
misex3c_243,7719,7719,0.567516,540,5.64907,540,5.43677,710,4.16242
misex3c_244,7719,7719,0.608151,540,5.50672,540,5.59619,710,3.86386
mlp4_245,526,526,0.002482,358,0.309735,358,0.310321,361,0.233206
mod10_171,16,16,0.000148,15,0.011646,15,0.011332,15,0.011687
mod10_176,14,14,0.000123,14,0.008476,14,0.007973,14,0.00822
mod5adder_127,51,51,0.000311,48,0.026831,48,0.028764,44,0.029619
mod5adder_128,51,51,0.000252,48,0.028371,48,0.027102,44,0.023583
mod5adder_129,51,51,0.000272,48,0.029666,48,0.026372,44,0.031132
mod5adder_306,407721,407721,16.6964,12062,36.1544,12062,36.3504,20611,19.3457
mod5d1_63,19,19,0.000151,14,0.013764,14,0.01623,14,0.015969
mod5d2_64,16,16,0.00012,16,0.016791,16,0.016442,16,0.016012
mod5d2_70,16,16,0.000121,16,0.017662,16,0.01775,16,0.016264
mod5mils_65,19,19,0.000365,14,0.013362,14,0.014932,14,0.015525
mod5mils_71,19,19,0.000118,14,0.014617,14,0.014717,14,0.019927
mod8-10_177,20,20,0.0002,18,0.015935,18,0.015572,18,0.01487
mod8-10_178,17,17,0.000141,17,0.015359,17,0.016076,17,0.014565
mux_246,131352,131352,0.34976,140,0.889113,140,1.00356,142,0.865104
one-two-three-v0_97,41,41,0.000175,33,0.016903,33,0.020078,33,0.027325
one-two-three-v0_98,42,42,0.000149,30,0.015355,30,0.015222,30,0.019963
one-two-three-v1_99,43,43,0.00022,27,0.015626,27,0.012301,27,0.019298
one-two-three-v2_100,46,46,0.000162,21,0.017568,21,0.016418,21,0.013873
one-two-three-v3_101,46,46,0.000155,30,0.018603,30,0.016683,30,0.014673
parity_247,34,34,0.000557,34,0.351884,34,0.262003,34,0.306685
pcler8_248,438,438,0.000596,134,0.431258,134,0.44061,160,0.313145
peres_10,6,6,9.7,6,0.004754,6,0.003902,6,0.00433
peres_8,6,6,0.000134,6,0.005937,6,0.00392,6,0.004667
peres_9,6,6,0.000114,6,0.004123,6,0.004494,6,0.003916
plus127mod8192_162,26,26,0.005599,26,0.176691,26,0.201619,26,0.134123
plus127mod8192_308,69638,69638,43.5461,759,2.68259,123,2.53383,65,1.36449
plus63mod4096_163,24,24,0.002264,24,0.15036,24,0.149372,24,0.102859
plus63mod4096_309,31750,31750,5.94895,262,2.10442,262,1.90876,56,0.932888
plus63mod8192_164,26,26,0.002691,26,0.201281,26,0.195426,26,0.120981
plus63mod8192_310,69638,69638,43.879,61,2.64864,61,2.80476,65,1.44738
pm1_249,81,81,0.00033,54,0.188104,54,0.183581,54,0.177943
radd_250,152,152,0.000907,35,0.139405,35,0.138231,51,0.107901
rd32-v0_66,9,9,0.000104,9,0.009924,9,0.011822,9,0.010211
rd32-v0_67,9,9,0.000106,9,0.010453,9,0.010953,9,0.009871
rd32-v1_68,9,9,0.000115,9,0.010811,9,0.012761,9,0.008893
rd32-v1_69,9,9,0.000116,9,0.010122,9,0.010972,9,0.010236
rd32_270,13,13,0.000187,12,0.015923,12,0.018847,12,0.016151
rd32_271,13,13,0.000159,12,0.015265,12,0.018372,12,0.016147
rd32_272,13,13,0.000139,13,0.01567,13,0.01736,13,0.015933
rd32_273,13,13,0.000179,12,0.017126,12,0.019194,12,0.018696
rd53_130,103,103,0.000665,67,0.035453,67,0.035849,67,0.033755
rd53_131,34,34,0.000535,21,0.036711,21,0.036793,21,0.042079
rd53_132,34,34,0.000421,21,0.039106,21,0.034977,21,0.033654
rd53_133,26,26,0.000266,21,0.04527,21,0.033334,21,0.029477
rd53_134,26,26,0.000217,21,0.035394,21,0.034666,21,0.029997
rd53_135,36,36,0.000291,25,0.038086,25,0.037188,25,0.032662
rd53_136,36,36,0.000407,25,0.037218,25,0.036962,25,0.031409
rd53_137,36,36,0.000263,25,0.037978,25,0.036698,25,0.040446
rd53_138,76,76,0.000342,52,0.05093,52,0.050891,52,0.031078
rd53_139,76,76,0.000288,52,0.053426,52,0.04872,52,0.039785
rd53_251,28,28,0.000285,27,0.051985,27,0.053273,26,0.049629
rd53_311,684,684,0.003539,273,0.167325,273,0.177109,338,0.113888
rd73_140,157,157,0.000882,135,0.087908,135,0.084596,135,0.071738
rd73_141,157,157,0.000685,135,0.08591,135,0.085712,135,0.068165
rd73_252,43,43,0.001058,38,0.087703,38,0.081036,38,0.093902
rd73_312,49705,49705,0.185868,2049,3.03664,2049,2.76659,2233,1.99073
rd84_142,3588,3588,0.007932,505,0.536743,505,0.487179,505,0.230603
rd84_143,3588,3588,0.00689,505,0.486877,505,0.498476,505,0.271413
rd84_253,56,56,0.001859,51,0.144456,51,0.143139,51,0.138246
rd84_313,131200,131200,5.42531,4326,20.7333,4326,21.0925,5354,10.3262
root_255,164,164,0.000927,118,0.164083,118,0.149706,118,0.125217
ryy6_256,53,53,0.000377,52,0.29753,52,0.278285,52,0.191019
sao2_257,127,127,0.001276,109,0.192151,109,0.179638,109,0.143619
sf_274,19,19,0.000209,17,0.016817,17,0.017117,17,0.019406
sf_275,19,19,0.000189,17,0.015168,17,0.016526,17,0.017964
sf_276,18,18,0.000228,17,0.01784,17,0.018334,17,0.019057
sqn_258,105,105,0.000963,90,0.088791,90,0.085509,90,0.069438
sqr6_259,403,403,0.001707,168,0.347318,168,0.318275,168,0.245261
sqrt8_260,129,129,0.000463,67,0.127518,67,0.121791,84,0.128909
squar5_261,158,158,0.000477,92,0.176833,92,0.181908,92,0.127557
sym10_262,48,48,0.003025,48,0.118168,48,0.123829,48,0.12084
sym6_145,28,28,0.000548,28,0.041081,28,0.043937,28,0.050802
sym6_316,1520,1520,0.002616,109,0.470443,109,0.47133,113,0.300377
sym9_146,229,229,0.001456,184,0.197111,184,0.135193,184,0.060676
sym9_147,229,229,0.001253,184,0.139219,184,0.133482,184,0.065089
sym9_148,53,53,0.006994,53,0.095384,53,0.10237,53,0.103311
sym9_192,229,229,0.001552,184,0.138828,184,0.13867,184,0.060008
sym9_193,41,41,0.001388,41,0.096458,41,0.088864,41,0.093147
sym9_317,137772,137772,0.455083,535,4.82729,535,4.98117,567,2.14708
sys6-v0_111,247,247,0.000936,129,0.087925,129,0.086982,129,0.055895
sys6-v0_144,247,247,0.000788,129,0.087382,129,0.087119,129,0.05244
t481_263,60,60,0.00028,55,0.273484,55,0.309482,55,0.157075
table3_264,1581,1581,0.056304,892,2.21168,892,2.28872,928,1.44861
tial_265,4538,4538,0.43783,1461,2.89936,979,2.66371,1169,1.82334
toffoli_1,6,6,0.000123,6,0.004888,6,0.00477,6,0.004204
toffoli_2,6,6,9.2,6,0.004344,6,0.00393,6,0.003913
toffoli_double_3,11,11,0.00013,10,0.009507,10,0.008171,10,0.010903
